run_id,cv_mode,fold_id,track,variant,model_family,model_key,n_train,n_valid,mae,rmse,mape,mae_tier_centrum,mae_tier_vesten_rand,mae_event,mae_non_event,fit_status
F1_rf_90_d12_l2,fixed_export,cv_fold_3,forecast,F1,random_forest,rf_90_d12_l2,107789,22048,0.3182532656959066,0.4018844032311203,1347993.2967363058,0.4295168675341039,0.2071510323882942,0.3318613758293474,0.313471451696825,ok
F1_xgb_80_d4_lr006,fold_safe,cv_fold_1,forecast,F1,xgboost,xgb_80_d4_lr006,61192,11529,0.1691175497305741,0.2023059714480687,10429.532801416168,0.1691175497305741,,0.1833999629679049,0.1647308085219654,ok
F1_xgb_80_d4_lr006,fold_safe,cv_fold_2,forecast,F1,xgboost,xgb_80_d4_lr006,82114,10725,0.226455991319074,0.265573586823334,16213.28279329246,0.226455991319074,,0.2397676558535079,0.2219150108451543,ok
F1_xgb_80_d4_lr006,fold_safe,cv_fold_3,forecast,F1,xgboost,xgb_80_d4_lr006,107789,22048,0.2580508848714605,0.3111892535933481,447880.89779864065,0.2337174457582242,0.3082525479489207,0.2784953602853917,0.2503281545160762,ok
F1_xgb_80_d4_lr006,fixed_export,cv_fold_1,forecast,F1,xgboost,xgb_80_d4_lr006,61192,11529,0.1761332502124838,0.2179240186852414,154076.51705444165,0.1885850777958177,0.153226181192799,0.1778885379081728,0.1750899330342137,ok
F1_xgb_80_d4_lr006,fixed_export,cv_fold_2,forecast,F1,xgboost,xgb_80_d4_lr006,82114,10725,0.2630526939876643,0.3156476999694483,556.4061415923925,0.2399241692273191,0.2821891936019488,0.2684392792437568,0.2595786769628377,ok
F1_xgb_80_d4_lr006,fixed_export,cv_fold_3,forecast,F1,xgboost,xgb_80_d4_lr006,107789,22048,0.2276149249893008,0.2856782239339233,1198242.580509956,0.2971059400133694,0.1582246946135631,0.2341327242244048,0.2253246066923439,ok
F2_ridge_a1_0,fold_safe,cv_fold_1,forecast,F2,ridge,ridge_a1_0,61192,11529,0.1012982172042166,0.1316719425670645,2559.0741946830112,0.1012982172042166,,0.1099037936843971,0.0986550758567326,ok
F2_ridge_a1_0,fold_safe,cv_fold_2,forecast,F2,ridge,ridge_a1_0,82114,10725,0.102734351351083,0.1337519907176165,3382.1045332931208,0.102734351351083,,0.1155458027236165,0.0983640075541253,ok
F2_ridge_a1_0,fold_safe,cv_fold_3,forecast,F2,ridge,ridge_a1_0,107789,22048,0.0890078516547094,0.1287062154801807,81560.97102244034,0.0920884766364446,0.0826522971980869,0.0955687484959051,0.0865295275026736,ok
